Course number ,Class name ,crn #,section,time ,professor,
5401,Financial Reporting And Analysis,12780,XC1,06:00 - 08:40 pm,"Bischoff,R",
,,,,,,
,,,,,,
5404,Professional Accountancy I,12781,G01,09:30 - 10:45 am,"Wen,H",
,,,,,,
,,,,,,
,,,,,,
,,12782,G02,11:00 - 12:15 pm,"Wen,H",
,,,,,,
,,,,,,
,,,,,,
,,12783,G03,05:30 - 06:45 pm,"Van Wert,P",
,,,,,,
,,,,,,
,,,,,,
5405,Professional Accountancy II,12800,G01,12:30 - 01:45 pm,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
,,12802,G02,05:30 - 06:45 pm,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
5408,Fraud Examination,12784,G01,06:55 - 09:35 pm,"Murphy,C",
,,,,,,
,,,,,,
5411,Cost Systems Analysis,14500,G01,02:00 - 03:15 pm,"McBride,D",
,,,,,,
,,,,,,
,,,,,,
,,14536,G02,05:30 - 06:45 pm,"McBride,D",
,,,,,,
,,,,,,
,,,,,,
5421,Information Systems in Accounting,14501,G01,10:30 - 01:15 pm,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,14537,G02,06:55 - 09:35 pm,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5435,Graduate Topics in Auditing,12785,G01,06:55 - 09:35 pm,"Menendez,D",
,,,,,,
,,,,,,
,,,,,,
5441,Tax Research,12786,G01,06:55 - 09:35 pm,"Meckfessel,M",
,,,,,,
,,,,,,
5447,Taxation of Individuals and,14502,G01,05:30 - 06:45 pm,"Geisler,G",
,Businesses,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14538,G02,09:30 - 10:45 am,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
5490,Graduate Internship in Accounting,12787,G01,ARR,"Moehrle,S",
,,,,,,
,,,,,,
,,,,,,
,,12793,G02,ARR,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
,,12794,G03,ARR,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
,,12795,G04,ARR,"Stuerke,P",
,,,,,,
,,,,,,
,,,,,,
,,12796,G05,ARR,"Van Wert,P",
,,,,,,
,,,,,,
,,,,,,
,,12797,G06,ARR,"Countryman,M",
,,,,,,
,,,,,,
,,,,,,
,,12798,G07,ARR,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
,,15008,G08,ARR,"Wen,H",
,,,,,,
,,,,,,
,,,,,,
5498,Graduate Seminar in Accounting,14540,G01,06:55 - 09:35 pm,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5499,Individual Research in Accounting,12799,G01,ARR,"Moehrle,S",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
Adult Education,,,,,,
6410,The Adult Learner,11910,G01,,,
Air Science,,,,,,
1001,The Air Force Today,12182,1,02:10 - 03:10 pm,"TBA,I",
,,,,,,
,,,Main AF ROTC phone number: 314 977 8227.,,,
,,,,,,
,,,,,,
,,,AF ROTC courses follow the host,,,
,,,,,,
,,,,Please see,,
,,,,,,
1500,Leadership Laboratory,12187,1,03:30 - 05:30 pm,"TBA,I",
,,,,,,
,,,Main AF ROTC phone number: 314 977 8227.,,,
,,,,Please see,,
,,,,,,
2001,The Air Force Way,12184,1,01:10 - 02:10 pm,"TBA,I",
,,,,,,
,,,Main AF ROTC phone number: 314 977 8227.,,,
,,,,,,
,,,,,,
,,,AF ROTC courses follow the host,,,
,,,,,,
,,,,Please see,,
,,,,,,
3001,Air Force Management And Leadership,12185,1,06:05 - 09:00 pm,"TBA,I",
,,,,,,
,,,Main AF ROTC phone number: 314 977 8227.,,,
,,,,,,
,,,,,,
,,,AF ROTC courses follow the host,,,
,,,,,,
,,,,Please see,,
,,,,,,
4001,National Security Forces In,12186,1,06:05 - 09:00 pm,"TBA,I",
,Contemporary American Society,,,,,
,,,Main AF ROTC phone number: 314 977 8227.,,,
,,,,,,
,,,,,,
,,,AF ROTC courses follow the host,,,
,,,,,,
,,,,Please see,,
,,,,,,
Anthropology,,,,,,
1005,Introduction To Biological,13046,00A,11:00 - 12:15 pm,"Lacy,S",
,Anthropology,,,Please see,,
,,,,,,
,,,0A1,09:30 - 10:30 am,"Lacy,S",
,,,,Please see,,
,,,,,,
,,,0A2,12:30 - 01:30 pm,"Lacy,S",
,,,,Please see,,
,,,,,,
,,,0A4,09:30 - 10:00 am,"Lacy,S",
,,,,Please see,,
,,,,,,
,,,0A5,12:30 - 01:30 pm,"Lacy,S",
,,,,Please see,,
,,,,,,
1011,Introduction To Cultural Anthropology,13042,1,09:30 - 10:45 am,"Wright,P",
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
1019,Introduction To Archaeology,13043,1,ARR,"Pierce,D",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
1021,The Body In Culture,13044,1,09:30 - 10:45 am,"Brownell,S",
,,,,Please see,,
,,,,,,
1025,World Cultures,14313,1,ARR,"Nolan,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
1030,Democracy and War,15322,1,12:30 - 01:45 pm,"Cosmopoulos,M",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
1041,Sex And Gender Across Cultures,14132,1,11:00 - 12:15 pm,"Nolan,J",
,,,,,,
,,,,Please see,,
,,,,,,
,,14314,2,ARR,"Nolan,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
1091,Introductory Topics In Anthropology,13309,1,09:30 - 10:45 am,"Irons,L",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,13312,2,11:00 - 12:15 pm,"Irons,L",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,15211,3,ARR,"Irons,L",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1095,Brief Overview Of The Four Fields Of,13045,1,ARR,"Wright,P",
,Anthropology,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
1271,Food and Drink: An Anthropological,15379,1,11:00 - 12:15 pm,"Wright,P",
,Perspective,,,,,
,,,,Please see,,
,,,,,,
2100,Languages and World View,13313,1,11:00 - 12:15 pm,"Noll,B",
,,,,,,
,,,,Please see,,
,,,,,,
2121,Native American Spirituality,10991,YC1,03:30 - 05:00 pm,"Schaffnit,S",
,,,,Please see,,
,,,,,,
2124,Introduction to Contemporary African,13054,1,ARR,"Clarke Ekong,S",
,Cultures,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2139,"Shamans, Serpents, and Spirits:",15381,1,ARR,"Pierce,D",
,Archaeology of the Borderlands,,,Please see,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2191,Special Topics In Non-Western Culture,14317,1,ARR,"Nolan,J",
,,,,,,
,,,"Zombie, Vampires, and Monsters.",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,15286,2,12:30 - 01:45 pm,"Miller,L",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2192,Anthropological Perspectives on,14118,1,12:30 - 01:45 pm,"Keel,R",
,Western Culture,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CREDIT,CMP,DAY,BLDG/ROOM,INSTRUCTOR
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,3.0- 3.0,INT,ARR,ONLINE,"Keel,R"
,,,"Alcohol, Drugs & Society",,,
,,,Same as CRIMIN 2180-002 and SOC 2180-002. Internet,,,
,,,only: Online course using My Gateway and the WWW.,,,
,,,"Online Participation, online testing and live",,,
,,,collaborate broadcasts or archived recordings.,,,
,,,Students are encouraged to attend the first class,,,
,,,meeting of Soc 2180-001.,Syllabus and other,,
,,,materials are available at,,,
,,,http://www.umsle.edu/~keelr/180/ads.html.,,,
,,,Online Supplemental Fee for 100,,,
,,,online course applies.,See Cashiers website for,,
,,,details,,,
,,,For more information:,,,
,,,http://umsl.edu/go/ORS,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3212,Medical Anthropology,3.0- 3.0,RSD,M,HC -0C209,"Hurwicz,M"
,,,"Same as GERON 3212, SOC 3212, & HONORS 3030.",,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3217,Anthropology of Pregnancy and Birth,3.0- 3.0,LEC,MW,CH -00412,"Lacy,S"
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3235,Women In Subsaharan Africa:,3.0- 3.0,INT,ARR,ONLINE,"Clarke Ekong,S"
,Contemporary Perspective,,Same as SOC 3291 and GS 3350 007,,,
,,,Online Supplemental Fee for 100,,,
,,,online course applies.,See Cashiers website for,,
,,,details,,,
,,,For more information:,,,
,,,http://umsl.edu/go/ORS,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3237,Contemporary Japanese Culture,3.0- 3.0,LEC,MW,CH -00415,"Miller,L"
,,,"Maiko, Maids & Masako",,,
,,,Same as ANTHRO 2191-002 and SOC 3237-001.,,,
,,,"Topic: Maiko, Maids, and Masako: Popular Icons of",,,
,,,Japan.,,,
,,,"Topic: Maiko, Maids, and Masako: Popular Icons of",,,
,,,Japan,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3271,Food and Drink: An Anthropological,3.0- 3.0,LEC,WF,SCC -0219A,"Wright,P"
,Perspective,,Same as ANTHRO 1271,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
3291,Current Issues In Anthropology,3.0- 3.0,INT,ARR,ONLINE,"Weber,K"
,,,Masculinities,,,
,,,Same as SOC 4600 and GS 4600,,,
,,,Online Supplemental Fee for 100,,,
,,,online course applies.,See Cashiers website for,,
,,,details,,,
,,,For more information:,,,
,,,http://umsl.edu/go/ORS,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
,,3.0- 3.0,RSD,WF,CH -00209,"Craft,R"
,,,Sociological Theory,,,
,,,Same as SOC 3210,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
,,3.0- 3.0,RSD,WF,HC -0C209,"Brownell,S"
,,,"Food, Health, and Exercise in Global Perspective.",,,
,,,Same as Honors 3030-008.,,,
,,,Page 8,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
4000,Ethnographic Field Research Methods,13059,1,02:00 - 04:30 pm,"Irons,L",
,,,,,,
,,,,Please see,,
,,,,,,
4005,Special Research Methods in Cultural,14127,1,02:00 - 04:30 pm,"Usui,C",
,Anthropology,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
4316,Senior Research Project,14722,1,ARR,"Lacy,S",
,,,,,,
,,,,Please see,,
,,,,,,
4325,Internship In Cultural Anthropology,13060,1,ARR,"Brownell,S",
,,,,Please see,,
,,,,,,
4326,Internship In Archaeology,13061,1,ARR,"Wright,P",
,,,,Please see,,
,,,,,,
4328,Internship In Museum Studies,13062,1,ARR,"Wright,P",
,,,,Please see,,
,,,,,,
4329,Internship In Physical Anthropology,13063,1,ARR,"Lacy,S",
,,,,Please see,,
,,,,,,
4350,Special Study,13064,1,ARR,"Brownell,S",
,,,,Please see,,
,,,,,,
,,13065,2,ARR,"Wright,P",
,,,,Please see,,
,,,,,,
,,13066,3,ARR,"Lacy,S",
,,,,Please see,,
,,,,,,
,,13067,4,ARR,"Cosmopoulos,M",
,,,,Please see,,
,,,,,,
5440,Sociocultural Aspects of Aging,15058,G01,05:30 - 08:10 pm,,
,,,,,,
6138,Museum Studies Master's Project,14741,G01,02:00 - 04:40 pm,"Gillette,M",
,,,,,,
6139,Practicum In Exhibit & Program,15433,G01,02:00 - 04:40 pm,"Gillette,M",
,Development,,,,,
,,,,,,
,,,,,,
Arabic,,,,,,
1001,Arabic I,13901,YC1,11:00 - 12:15 pm,"Al-Albani,L",
,,,,Please see,,
,,,,,,
,,,YC1,11:00 - 11:50 am,"Al-Albani,L",
,,,,Please see,,
,,,,,,
2101,Intermediate Arabic I,13902,YC1,09:30 - 10:20 am,"Al-Albani,L",
,,,,Please see,,
,,,,,,
,,,YC1,09:30 - 10:45 am,"Al-Albani,L",
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CREDIT,CMP,DAY,BLDG/ROOM,INSTRUCTOR
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
Art,,,,,,
1020,Expanded Artforms,3.0- 3.0,STU,TTh,145 AAB,"Behle,M"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1030,Ceramics I,3.0- 3.0,STU,MW,CH -00214,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
,,3.0- 3.0,STU,MW,CH -00215,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1060,Photography I,3.0- 3.0,STU,TTh,FA -00218,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1133,Introduction To Fibers And Textiles,3.0- 3.0,STU,M,FA -00128,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1140,Drawing I,3.0- 3.0,STU,TTh,FA -00227,"Anderson,K"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1142,Figure Drawing I,3.0- 3.0,STU,MW,FA -00229,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1143,Figure Drawing II,3.0- 3.0,STU,MW,FA -00229,"Behle,M"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1150,Design I,3.0- 3.0,STU,TTh,FA -00219,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1170,Printmaking I,3.0- 3.0,STU,WF,FA -00127,"Bangert,L"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1173,Printmaking:,3.0- 3.0,STU,TTh,FA -00127,"Sippel,J"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1180,Painting I,3.0- 3.0,STU,MW,145 AAB,"TBA,I"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
1210,Graphic Design I,3.0- 3.0,STU,TTh,SSB -00131,"Schisla,G"
,,,Studio Art Fee Applies.,See Cashiers website for,,
,,,details.,,,
,,,Arts and Science Advising Fee applies.,,,
,,,Cashiers website for details.,,,
,,,Page 10,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,12559,2,09:30 - 12:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2210,Typography,12560,E01,07:00 - 09:30 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2212,Image Making for Graphic Design,12561,1,09:30 - 12:00 pm,"Mcknight,J",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2220,Computer Design I,12562,E01,07:00 - 09:30 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2221,Computer Design II,15294,E01,07:00 - 09:30 pm,"TBA,I",
,,,,Please see,,
,,,,,,
,,,,,,
,,,,,,
2240,Drawing III,12563,1,03:30 - 06:00 pm,"Anderson,K",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2242,Figure Drawing III,12564,1,09:30 - 12:00 pm,"Behle,M",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2243,Figure Drawing IV,12565,1,09:30 - 12:00 pm,"Behle,M",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2265,Commercial Applications In,10752,YC1,07:00 - 09:30 pm,"TBA,I",
,Photography: Portrait Photography,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2271,Printmaking II,14515,1,12:30 - 03:00 pm,"Sippel,J",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2273,Printmaking: Etching,12567,1,12:30 - 03:00 pm,"Bangert,L",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2274,Printmaking And Relief,12568,1,12:30 - 03:00 pm,"Bangert,L",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
2280,Painting III,12569,1,03:30 - 06:00 pm,"Robinson,P",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
2281,Painting IV,15295,1,03:30 - 06:00 pm,"Robinson,P",
,,,,Please see,,
,,,,,,
,,,,,,
,,,,,,
2290,Special Study,12571,1,00:00 - 00:00 am,"Sippel,J",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12572,2,ARR,"Younger,D",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12573,3,00:00 - 00:00 am,"Robinson,P",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12574,4,00:00 - 00:00 am,"Behle,M",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12575,5,00:00 - 00:00 am,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12576,6,00:00 - 00:00 am,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12577,7,00:00 - 00:00 am,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3260,Photography III,12578,1,12:30 - 01:45 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3310,Graphic Design III,12579,1,12:30 - 03:00 pm,"Mcknight,J",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12580,2,03:30 - 06:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3312,Advanced Topics in Graphic Design,12582,1,07:00 - 09:30 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
3340,Advanced Problems In Drawing I,12583,1,09:30 - 12:00 pm,"Robinson,P",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3350,Studio Art Internship,12584,1,ARR,"Younger,D",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12585,2,ARR,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12586,3,ARR,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12587,4,ARR,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12588,5,ARR,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12589,6,ARR,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3370,Advanced Problems In Printmaking I,12590,YC1,12:30 - 03:00 pm,"Sippel,J",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3380,Advanced Problems In Painting I,12592,1,09:30 - 12:00 pm,"Robinson,P",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3383,Advanced Problems In Graphic Design I,12593,1,12:30 - 03:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3390,Special Study,12594,1,ARR,"Sippel,J",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12595,2,ARR,"Schisla,G",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,12596,3,ARR,"Younger,D",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12597,4,ARR,"Robinson,P",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12598,5,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12599,6,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12600,7,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
3391,Advanced Problems In Photography I,12601,1,09:30 - 12:00 pm,"Younger,D",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
4490,Senior Seminar In Photography I,14686,1,09:30 - 12:00 pm,"Younger,D",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,,1,09:30 - 12:00 pm,"Younger,D",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
4495,Senior Studio Seminar,12602,1,12:30 - 03:00 pm,"Robinson,P",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
4497,Senior Seminar In Graphic Design I,12603,1,03:30 - 06:00 pm,"Schisla,G",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12604,2,03:30 - 06:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
5590,Special Study,12605,G01,00:00 - 00:00 am,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
Art Education,,,,,,
2179,Visual Art Activities for Elementary,12516,1,10:30 - 01:00 pm,"TBA,I",
,School,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12517,2,01:30 - 04:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
,,12608,J01,11:00 - 01:30 pm,"Goerke,M",
,,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
4273,Curriculum and Methods of Teaching,12518,1,08:30 - 11:15 am,"Fisher,J",
,Art,,,,,
,,,,,,
,,,,,,
,,,,Please see,,
,,,,,,
5273,Advanced Methods and Curriculum,14720,G01,08:30 - 11:15 am,"Fisher,J",
,Development of Teaching Art,,,,,
,,,,,,
,,,,,,
5334,Topics in Contemporary Art Education,15290,G01,ARR,"Fisher,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Art History,,,,,,
